ticker,oi_mean_SELL,oi_median_SELL,oi_mean_HOLD,oi_median_HOLD,oi_mean_BUY,oi_median_BUY,spearman_oi_ret,spearman_chg_ret
ADANIENT.NS,0.8021243598204475,0.7827430513129081,0.7446013718450109,0.7153803545051699,0.7935629975620953,0.7728760844655427,-0.015684407944703837,0.057472097036079965
ADANIPORTS.NS,0.6757168602096332,0.6709093558847639,0.654684913815341,0.6341040775437267,0.6832481055657551,0.6582950978024632,0.0132105060793244,0.01112200348351533
APOLLOHOSP.NS,0.604204756001392,0.5717351105603017,0.6150589821368488,0.5644744753587794,0.6424184665387772,0.6236004622694505,0.04878087739918911,0.07836718641665501
ASIANPAINT.NS,0.6558781560943094,0.6233815053044859,0.6427992728639443,0.6025566904029116,0.7328943903941951,0.6817546631022541,0.1514238548337851,0.013710277072005412
AXISBANK.NS,0.6370608936642291,0.6002597794305558,0.6168398059510087,0.5832286710036703,0.6071872413612075,0.5783557148933585,-0.058217781333520395,-0.0010389617567828626
BAJAJ-AUTO.NS,0.6513900436893502,0.6226485379027752,0.6512588880020092,0.6215826184558647,0.7096111294874727,0.6610548663234797,0.1456907818618984,0.014820170245794583
BAJFINANCE.NS,0.6808589543889119,0.6721503448787011,0.6648402084471666,0.6346055465278926,0.7096003637119598,0.7119301678700722,0.1039765823433643,0.046419187931679484
BAJAJFINSV.NS,0.6059044321214934,0.568898911637325,0.603390996645483,0.5856009651412871,0.6406540705732763,0.6077356479366529,0.0909135506888029,0.014028272146338887
BEL.NS,0.6302747576744248,0.6101600855127529,0.5948561995364594,0.5707629534272713,0.6117647842175143,0.5862792889295114,-0.05186457936726855,-0.010990349123432087
BHARTIARTL.NS,0.5407056400746049,0.506353676413857,0.5095627434639308,0.4904242781378904,0.5131813960523747,0.49133099824868653,-0.07435749670246662,-0.08579906823584994
BRITANNIA.NS,0.5757135750436888,0.5528378721061328,0.5659459025573892,0.5196897976062611,0.6162174573873376,0.5984694906826229,0.09920556128092319,0.05880921890554835
CIPLA.NS,0.6335269346251479,0.6249433782846144,0.6217027568266921,0.5933080074848367,0.6113990925509509,0.5986701828395424,-0.04669599247887682,0.04100358411329792
COALINDIA.NS,0.6539136842801362,0.6499114020178642,0.6129951893351029,0.6043206879416751,0.6108722624672901,0.590289608177172,-0.16354901321533669,-0.07132893571699105
DRREDDY.NS,0.6073748721231031,0.5692239072256914,0.620243702195746,0.571530865611962,0.5946688842172981,0.5655631288542681,0.0015640121665811218,0.014040581347481438
EICHERMOT.NS,0.6622696369093668,0.6352032247228754,0.6670548220110244,0.6276973648192508,0.6650553912907256,0.6343427835051546,-0.008240351720886135,-0.009460418825060296
GRASIM.NS,0.6279882891138362,0.5800611347939593,0.63662103544753,0.5804731756081306,0.6248925732561664,0.6025727826675694,0.007274512964391398,0.03297366588859652
HCLTECH.NS,0.5768806225479158,0.5517832669131042,0.5774324540440077,0.5433067168137325,0.5937294186537303,0.569408199343379,0.060244088045093985,0.007264083989752446
HDFCBANK.NS,0.6320264901319104,0.6031059925479743,0.6045046713429388,0.5773420813553111,0.6327229249425483,0.5816050538167057,-0.05910469759550292,0.0018416278403596096
HDFCLIFE.NS,0.5524263259961151,0.5291732769257889,0.5726753871169338,0.5400854544445317,0.57809504614549,0.5364782706597613,0.059651347692290246,-0.019269725791598257
HEROMOTOCO.NS,0.5739800321993009,0.5482838342521785,0.5838710308274863,0.5558695364013312,0.6094673942422342,0.5738053934710613,0.09436331471426945,0.000225621287524183
HINDALCO.NS,0.5763607519532462,0.5625405475873386,0.5779713027616944,0.562640134529148,0.5998224991930099,0.6057170233152348,0.08682023587723688,-0.025182417560477253
HINDUNILVR.NS,0.5981469480890931,0.5822222222222222,0.5889395332443063,0.5814593489542381,0.6165491104411568,0.5893671892059527,0.04161161142663514,0.01396101662982177
ICICIBANK.NS,0.6681892513405127,0.6315076346026581,0.6503072426458101,0.6122061916806704,0.650184924368459,0.602093466652404,-0.03763596331372485,0.04835972840538895
INDIGO.NS,0.7234798598102841,0.7117746717492588,0.6729200234828115,0.6424236765941556,0.6808752524925054,0.6674164524421594,-0.12068918298492053,-0.0370100662514855
INFY.NS,0.5844202840469731,0.5535505881997398,0.5913579856226996,0.5718446510814977,0.5879704189154217,0.5719109952419723,0.031323395855940635,0.015608506383185746
ITC.NS,0.5196248487712577,0.5100683830712508,0.5236977826223203,0.49889527176314624,0.5471405436288211,0.5393677754972903,0.09861841838647237,0.1357095469536019
JSWSTEEL.NS,0.6889164345390834,0.6735036987222596,0.6898200423321529,0.6834434069687998,0.7186707845608636,0.7189772252150495,0.08297139154705788,-0.016251303335076624
KOTAKBANK.NS,0.6868529505647992,0.6499699239598056,0.666815489763377,0.6325389614927668,0.6864573360347079,0.6467391304347826,0.0033808627810406624,-0.0028517152964638135
LT.NS,0.6169383791331212,0.5975906160836943,0.5794387058938004,0.5550474065811489,0.5652568087348214,0.5292699581908709,-0.15373281003375272,-0.1065451722319911
M&M.NS,0.6014963497577682,0.6091023155013118,0.6010241069805302,0.6042203859189709,0.6029150287677463,0.5859525137933173,-0.033224937220539354,-0.01192493407138909
MARUTI.NS,0.5506219344664194,0.5108604660413478,0.5060533075663984,0.4653072639902367,0.5577388975970123,0.49368724564754995,-0.0005624203785269099,0.009143911553550108
NESTLEIND.NS,0.6056372703548353,0.5713619122428275,0.6005577454151875,0.56584,0.6025851514551369,0.563674995293295,-0.013650931912706273,-0.018093078850569096
NTPC.NS,0.4099166323028776,0.37987699115925605,0.3968790597332639,0.38504480681651243,0.40132723715203983,0.3729828066585933,0.005833322857869315,-0.002104326719058089
ONGC.NS,0.39440445352409886,0.38007222586999345,0.4077611917324511,0.39059386209645275,0.4066905867825883,0.3936334365361864,0.019573288245977732,-0.004837577428679613
POWERGRID.NS,0.586725018153802,0.5534166867578627,0.5675054979368107,0.5404489023784587,0.5649246930159226,0.5416431660086483,-0.058526214010414516,-0.008820916528497235
RELIANCE.NS,0.5706340117049123,0.5561057035038223,0.5849063871281289,0.5724171965019396,0.5836041351179702,0.5783367272544435,0.0219978854496473,-0.04975910221834506
SBILIFE.NS,0.44176157520177645,0.40076312440791806,0.48446885456142214,0.4536051110435047,0.46701084386177943,0.42980392156862746,0.08947849398876284,-0.017644809376318748
SBIN.NS,0.6650398839938769,0.6605349147895663,0.6549532463304176,0.6305439954637004,0.6832970182186111,0.6625908540278619,0.031649019812376396,0.09432128308521885
SUNPHARMA.NS,0.477939539687963,0.4490217601859624,0.5058798887202326,0.48104866663825196,0.5216380335328096,0.4923910239876193,0.08639102146763689,0.04190581143351516
TATACONSUM.NS,0.5697940245370217,0.5465183195856512,0.5989167980998064,0.5564561573868094,0.6526919260506758,0.5842966521543311,0.11285544573224694,0.008056003357041716
TATASTEEL.NS,0.6028002317396708,0.5708889033894013,0.6181256337625758,0.5931663862673903,0.6229316593627592,0.5954606643425638,0.0464452851497954,0.05948793189178794
TCS.NS,0.6602937461646672,0.6391911611423806,0.6544449512599637,0.6395679634723905,0.6663505976092134,0.6471380703996684,0.016416403086979423,0.0478302989193814
TECHM.NS,0.6593134931630183,0.6429965610186821,0.6343843437434944,0.6007051260706344,0.6440643612960129,0.6356556514418017,-0.009011238889047953,-0.034981451617753775
TITAN.NS,0.652817269742148,0.6375921375921376,0.6616221930805678,0.6532767983337052,0.6811105596686635,0.6612577615701288,0.0616961239519724,-0.05476169265654295
TRENT.NS,0.5644565478949645,0.5550503193018824,0.5623593348999988,0.5252128356254093,0.6282012809919393,0.5935716357977676,0.09193190643590556,0.08655498515663312
ULTRACEMCO.NS,0.5438828529495385,0.5313677376301631,0.5657539230597172,0.5358734875822543,0.568873916337436,0.5396048333471846,0.0475654754043972,0.02255279450506193
WIPRO.NS,0.5925125483736012,0.5733843237796755,0.6024413390461326,0.5827019466138245,0.615581175632465,0.607098763667774,0.09699601427267732,0.10427457935294862
