ticker,delta_f1_macro,control_f1_macro,pcr_f1_macro,delta_sell_f1,delta_hold_f1,delta_buy_f1,control_sell_f1,control_hold_f1,control_buy_f1,pcr_sell_f1,pcr_hold_f1,pcr_buy_f1,control_cv_score,pcr_cv_score,optuna_trials,classes_improved,classes_worsened,class_collapse,prediction_shift,buy_shift,hold_shift,sell_shift,performance_class,sector,horizon
CIPLA.NS,-0.0360189645837839,0.3653683519940078,0.3293493874102239,-0.0234463276836158,-0.0200322528147237,-0.064578313253012,0.4067796610169492,0.5447470817120622,0.144578313253012,0.3833333333333333,0.5247148288973384,0.08,0.294586431208325,0.3129651158593582,75,0,3,BUY,16,-8,6,2,STRONG_REGRESSION,Healthcare,10
HCLTECH.NS,0.007810189361334,0.3014218208454912,0.3092320102068253,0.0262615301139446,-0.00042364378247,-0.0024073182474723,0.2474226804123711,0.6245847176079734,0.032258064516129,0.2736842105263158,0.6241610738255033,0.0298507462686567,0.3190940516924626,0.3113069243348944,30,1,2,BUY,10,5,-3,-2,MODERATE_IMPROVEMENT,InformationTechnology,5
HEROMOTOCO.NS,-0.0122530846797327,0.3456876053911756,0.3334345207114428,-0.138127007659995,0.0850018654396219,0.0163658881811747,0.3661971830985915,0.4069767441860465,0.2638888888888889,0.2280701754385964,0.4919786096256685,0.2802547770700637,0.3400068226234404,0.3475342474379158,75,2,1,SELL,56,13,15,-28,MODERATE_REGRESSION,AutomobileAndAutoComponents,10
HINDALCO.NS,-0.0373701977132988,0.3579609150128768,0.320590717299578,-0.1026086956521739,-0.0282926829268292,0.0187907854391068,0.2826086956521739,0.4682926829268293,0.3229813664596273,0.18,0.44,0.3417721518987341,0.349485586410571,0.3447628054705643,30,1,2,SELL,16,-3,-5,8,STRONG_REGRESSION,MetalsAndMining,10
HINDUNILVR.NS,-0.0560729255499927,0.4158492689505292,0.3597763434005365,-0.0283687943262411,-0.0116279069767442,-0.1282220753469927,0.3829787234042553,0.5116279069767442,0.3529411764705882,0.3546099290780142,0.5,0.2247191011235955,0.3647411231953917,0.36397105355773,75,0,3,BUY,26,-13,13,0,STRONG_REGRESSION,FastMovingConsumerGoods,10
MARUTI.NS,-0.0018784655027159,0.2689999729751006,0.2671215074723846,0.0383077948034643,-0.0069061542745753,-0.037037037037037,0.3037974683544304,0.4661654135338345,0.037037037037037,0.3421052631578947,0.4592592592592592,0.0,0.3641466123555215,0.3653843978913909,30,1,2,BUY,6,1,2,-3,NEUTRAL,AutomobileAndAutoComponents,10
ONGC.NS,-0.0265909677416312,0.3374568720061635,0.3108659042645322,0.0823266219239373,-0.0254592330003222,-0.1366402921485088,0.2666666666666666,0.4392523364485981,0.3064516129032258,0.348993288590604,0.4137931034482758,0.1698113207547169,0.3493465294856587,0.344780669188203,75,1,2,BUY,58,-18,-11,29,STRONG_REGRESSION,OilGasAndConsumableFuels,10
TCS.NS,-0.0352504193309162,0.2981568764121305,0.2629064570812143,-0.042016806722689,-0.0376390076988879,-0.0260954435711717,0.1372549019607843,0.3233532934131736,0.4338624338624338,0.0952380952380952,0.2857142857142857,0.4077669902912621,0.3395399584464654,0.36047738071003,30,0,3,SELL,40,17,-20,3,STRONG_REGRESSION,InformationTechnology,10
