ticker,oi_mean,oi_median,oi_std,oi_min,oi_max,chg_mean,chg_median,chg_std,chg_min,chg_max,latest_oi,latest_chg,oi_cv,frac_zero_oi,distinct_oi,oi_percentile_latest
ADANIENT.NS,0.7767632871264003,0.7547689936498903,0.15730049200390342,0.47224202106596974,1.308402519324363,-0.0005208296323707029,-0.011409867418703312,0.13053294420127665,-0.4425688612669344,0.5118169806884322,0.6555565301289361,0.01582229056270601,0.20250762955832952,0.0,1142,23.90542907180385
ADANIPORTS.NS,0.6698657699656226,0.6543510614744013,0.14091509474481353,0.3864824495892457,1.445579389399614,-0.000593543093000706,-0.011011787445166898,0.13708569745153049,-0.8110858884865192,0.7684601240491512,0.6553586720242408,0.022036379874522338,0.2103631817939365,0.0,1142,50.26269702276708
APOLLOHOSP.NS,0.6223335533489636,0.5914221068976786,0.18060577594146118,0.29552457813646366,1.3711428222954019,0.0012335733561808964,-0.005500241136861317,0.1640715291304586,-0.5744327805571254,0.7367481536541579,0.8092537698156979,-0.011742459594899501,0.29020735740434905,0.0,1142,85.72679509632225
ASIANPAINT.NS,0.6756810286271817,0.6364861145872512,0.19933739319943808,0.3473680621846448,1.8,0.0009085924694788447,0.0003814009877136093,0.15261029143483684,-0.4156186612576065,0.6067763670129029,0.8477524138372019,-0.05054962012211894,0.2950170047018233,0.0,1142,84.58844133099825
AXISBANK.NS,0.6190336552845371,0.5852064690653871,0.17355941407926184,0.31347280334728034,1.4432077511310406,-0.0009592240132143727,-0.012332055643884288,0.174735076768973,-0.7218663169008427,0.7683960301911581,0.602135449428235,-0.1202770163942809,0.28037153165684625,0.0,1142,53.32749562171629
BAJAJ-AUTO.NS,0.6749994923580936,0.6381317342500588,0.22356391159096858,0.23779408044523148,1.6495317792388922,0.002628812974881034,-0.0014007610496853395,0.18450847537512596,-0.8297126521045358,0.6966514366222089,1.2866371575547315,0.49209369860945373,0.33120604403709064,0.0,1142,97.54816112084063
BAJFINANCE.NS,0.6857971081068982,0.6792630748673406,0.16205675486345097,0.31777122936769325,1.2744006464936697,-0.0008731316343023349,-0.0019724418954312484,0.14125304890541354,-0.571806973648563,0.6066091865746822,0.8012324929971989,-0.0935250947048113,0.23630422605717735,0.0,1142,77.14535901926445
BAJAJFINSV.NS,0.6130378767348231,0.5892946473236619,0.17574976882519694,0.24975676758427287,1.3007884220758181,-0.002301231702945584,-0.009545957365076352,0.17839348424688609,-0.7846487089715213,0.7133645802549192,0.7581432020893905,-0.034066035528862226,0.2866866395944073,0.0,1147,81.08108108108108
BEL.NS,0.609227374834183,0.5865290795808211,0.12473054630091109,0.3522167487684729,1.2194716039109632,-0.002005836538098146,-0.006225037996530458,0.11676951908541745,-0.5442872866903474,0.41822812433592027,0.6916971250886477,0.07098780226380064,0.20473562327178704,0.0,1141,78.28371278458845
BHARTIARTL.NS,0.5174962230782197,0.4938200331657386,0.1426419232859866,0.23010411788017437,1.126305842826395,-0.003073531074966248,-0.0026052235425910453,0.15983870324333144,-0.6270064636976477,0.4832607791265876,0.5638342286175513,0.12241445989973243,0.27563857845668993,0.0,1142,67.07530647985989
BRITANNIA.NS,0.5836061275637564,0.5481238322553091,0.20831464410402478,0.24321006598127973,1.4609582963620231,0.0018287623761154546,-0.013398069856075168,0.19021467205133924,-0.7000052594931743,1.0471694574079524,0.7896108408617095,-0.10052756744278879,0.3569438946325445,0.0,1142,84.41330998248687
CIPLA.NS,0.6212247868769504,0.6037682153293945,0.16460248452139448,0.2913870760180164,1.2830151544971462,0.0010455761265725273,0.0005275072488137855,0.1618723251385723,-0.5929240415316478,0.6871266699045837,0.5778754710209941,-0.026702653035296287,0.2649644508695341,0.0,1142,43.957968476357266
COALINDIA.NS,0.6237915983083591,0.61359090749962,0.148096659230543,0.29926156237854645,1.1632395516294263,-0.001260001468077654,-0.012233321545761566,0.14260545751178494,-0.39769260886242236,0.6152253097728154,0.7216038349041274,0.043846906497660876,0.23741368051791928,0.0,1142,75.56917688266199
DRREDDY.NS,0.6075323296031566,0.5683082636328788,0.16800666333197184,0.3026220396326728,1.3716987865810135,0.0007986417668929734,-0.00971672484099706,0.15888105610578,-0.601443934101598,0.6839667957148885,0.5471313563640069,0.08634593628839893,0.27653946159822423,0.0,1142,42.46935201401051
