ticker,delta_f1_macro,control_f1_macro,pcr_f1_macro,delta_sell_f1,delta_hold_f1,delta_buy_f1,control_sell_f1,control_hold_f1,control_buy_f1,pcr_sell_f1,pcr_hold_f1,pcr_buy_f1,control_cv_score,pcr_cv_score,optuna_trials,classes_improved,classes_worsened,class_collapse,prediction_shift,buy_shift,hold_shift,sell_shift,performance_class
ADANIENT.NS,-0.0094802122007287,0.4142353351567496,0.4047551229560208,0.0368098159509202,-0.0104186764422149,-0.0548317761108917,0.4049079754601227,0.380281690140845,0.457516339869281,0.4417177914110429,0.3698630136986301,0.4026845637583892,0.3774990484682612,0.3826799671907172,75,1,2,,8,-4,4,0,MODERATE_REGRESSION
ADANIPORTS.NS,-0.0246835452288436,0.3926733985128146,0.3679898532839709,-0.0346085287261757,-0.0198412698412698,-0.0196008371190852,0.441025641025641,0.2698412698412698,0.4671532846715328,0.4064171122994652,0.25,0.4475524475524475,0.319254510737872,0.31628303775601,75,0,3,,16,6,2,-8,STRONG_REGRESSION
APOLLOHOSP.NS,0.0541105315467626,0.2179184750109142,0.2720290065576768,0.1087366436203645,-0.0325113954637816,0.0861063464837049,0.054054054054054,0.4676258992805755,0.1320754716981132,0.1627906976744186,0.4351145038167939,0.2181818181818181,0.3130409225499631,0.315461700679771,75,2,1,,32,4,-16,12,STRONG_IMPROVEMENT
ASIANPAINT.NS,0.0335330726491564,0.391544953369817,0.4250780260189735,0.0019574259848299,0.0711364614722341,0.0275053304904051,0.3114754098360656,0.504950495049505,0.3582089552238806,0.3134328358208955,0.5760869565217391,0.3857142857142857,0.3590843994303133,0.3314756048643595,75,3,0,,36,6,-18,12,STRONG_IMPROVEMENT
AXISBANK.NS,0.0024430027044641,0.3533728833789804,0.3558158860834446,0.0058201058201058,-0.0164441998073482,0.0179531021006351,0.2037037037037037,0.4069767441860465,0.449438202247191,0.2095238095238095,0.3905325443786982,0.4673913043478261,0.3666801677074277,0.373455515798978,75,2,1,,12,6,-3,-3,NEUTRAL
BAJAJ-AUTO.NS,0.0399882309008272,0.287483366875339,0.3274715977761663,0.0065217391304347,0.0172579098753595,0.0961850436966874,0.2434782608695652,0.2684563758389262,0.3505154639175257,0.25,0.2857142857142857,0.4467005076142132,0.2997446638222494,0.2782635616349763,75,3,0,,32,3,-16,13,STRONG_IMPROVEMENT
BAJFINANCE.NS,0.0210247808617697,0.3222478143716097,0.3432725952333795,-0.0239938080495356,0.0107453993120936,0.0763227513227513,0.4210526315789473,0.3849765258215962,0.1607142857142857,0.3970588235294117,0.3957219251336898,0.237037037037037,0.3682607814518565,0.360637756070105,75,2,1,,52,23,-26,3,STRONG_IMPROVEMENT
BAJAJFINSV.NS,-0.0247467799089682,0.3090823211875843,0.2843355412786161,-0.0707475209763539,0.0509401709401708,-0.0544329896907216,0.3026315789473684,0.3846153846153846,0.24,0.2318840579710145,0.4355555555555555,0.1855670103092783,0.3279048893964707,0.3391135810177481,75,1,2,,34,-3,17,-14,STRONG_REGRESSION
BEL.NS,-0.0025031256292981,0.2346339953507176,0.2321308697214194,0.0363016917293232,-0.0567226890756302,0.0129116204584125,0.234375,0.1911764705882352,0.2783505154639175,0.2706766917293233,0.134453781512605,0.2912621359223301,0.3029545557333368,0.3167632382441999,75,2,1,,34,12,-17,5,NEUTRAL
BHARTIARTL.NS,0.0309528242329393,0.3322948175035289,0.3632476417364682,0.0251269713980219,0.0081005586592178,0.059630942641578,0.160919540229885,0.45,0.3859649122807017,0.1860465116279069,0.4581005586592179,0.4455958549222797,0.3252549506184118,0.3248334192156846,75,3,0,,44,22,-21,-1,STRONG_IMPROVEMENT
BRITANNIA.NS,0.0255816696606031,0.2954787234042553,0.3210603930648584,-0.0339936414771337,0.0366379310344827,0.0741007194244604,0.1489361702127659,0.4375,0.3,0.1149425287356321,0.4741379310344827,0.3741007194244604,0.3637270657816853,0.3601558349478616,75,2,1,,16,-1,8,-7,STRONG_IMPROVEMENT
