policy_name,ticker,selected_version,is_ambiguous
policy_A_newest,ADANIENT.NS,02396567e184,False
policy_A_newest,ADANIPORTS.NS,b93ab9691be4,False
policy_A_newest,APOLLOHOSP.NS,05ede10abd64,False
policy_A_newest,ASIANPAINT.NS,e6259388a183,False
policy_A_newest,AXISBANK.NS,6714ad67d111,False
policy_A_newest,BAJAJ-AUTO.NS,db9e0769b1d1,False
policy_A_newest,BAJFINANCE.NS,19fd01804fed,False
policy_A_newest,BAJAJFINSV.NS,550436d37c2e,False
policy_A_newest,BEL.NS,5cc7f5c36428,False
policy_A_newest,BHARTIARTL.NS,1db6ff197a40,False
policy_A_newest,BRITANNIA.NS,75a51f014587,False
policy_A_newest,CIPLA.NS,a133bb37aed0,False
policy_A_newest,COALINDIA.NS,174fb1f190ff,False
policy_A_newest,DRREDDY.NS,7210d4a2ac7f,False
policy_A_newest,EICHERMOT.NS,1add26b9ab6f,False
policy_A_newest,ETERNAL.NS,213c7cdf6b07,False
policy_A_newest,GRASIM.NS,2c1de894a637,False
policy_A_newest,HCLTECH.NS,c52c57f19196,False
policy_A_newest,HDFCBANK.NS,4a79ab752e51,False
policy_A_newest,HDFCLIFE.NS,2a47400ee179,False
policy_A_newest,HEROMOTOCO.NS,50e12ce11fad,False
policy_A_newest,HINDALCO.NS,75c4bcd16d7e,False
policy_A_newest,HINDUNILVR.NS,6ae4cbc68cf5,False
policy_A_newest,ICICIBANK.NS,9a90cf51924c,False
policy_A_newest,INDIGO.NS,208247af8cb1,False
policy_A_newest,INFY.NS,6c549effc744,False
policy_A_newest,ITC.NS,dd4365c40715,False
policy_A_newest,JIOFIN.NS,beb622d9d178,False
policy_A_newest,JSWSTEEL.NS,15f1cf629f57,False
policy_A_newest,KOTAKBANK.NS,572bb63ba388,False
policy_A_newest,LT.NS,fffa74c6ced2,False
policy_A_newest,M&M.NS,a82ca768507c,False
policy_A_newest,MARUTI.NS,9d76042d0f88,False
policy_A_newest,MAXHEALTH.NS,89ccde0bb6bb,False
policy_A_newest,NESTLEIND.NS,718f85fe9370,False
policy_A_newest,NTPC.NS,e850d8e39a71,False
policy_A_newest,ONGC.NS,6c29ed4f4b31,False
policy_A_newest,POWERGRID.NS,baeacbd6a8ee,False
policy_A_newest,RELIANCE.NS,a4264ce3aa03,False
policy_A_newest,SBILIFE.NS,710b376617f0,False
policy_A_newest,SBIN.NS,41efcda90bcf,False
policy_A_newest,SHRIRAMFIN.NS,0e7da5a7998c,False
policy_A_newest,SUNPHARMA.NS,845257eace4d,False
policy_A_newest,TATACONSUM.NS,4d67a31ef2d1,False
policy_A_newest,TATASTEEL.NS,6b0ec6e931d3,False
policy_A_newest,TCS.NS,39f892ad8a37,False
policy_A_newest,TECHM.NS,44f46805464f,False
policy_A_newest,TITAN.NS,c62d01aa5314,False
policy_A_newest,TRENT.NS,9106deb806b5,False
policy_A_newest,ULTRACEMCO.NS,2c6e05607985,False
policy_A_newest,WIPRO.NS,6873fcb78722,False
policy_B_highest_cv,ADANIENT.NS,3c7a4a5ae14c,False
policy_B_highest_cv,ADANIPORTS.NS,b93ab9691be4,False
policy_B_highest_cv,APOLLOHOSP.NS,a0bd0b468e8b,False
policy_B_highest_cv,ASIANPAINT.NS,e6259388a183,False
policy_B_highest_cv,AXISBANK.NS,c5887408a2bd,False
policy_B_highest_cv,BAJAJ-AUTO.NS,4ead6a75dc12,False
policy_B_highest_cv,BAJFINANCE.NS,433d0ad7ddca,False
policy_B_highest_cv,BAJAJFINSV.NS,d7782e81c688,False
policy_B_highest_cv,BEL.NS,5c1ff0aa0aad,False
policy_B_highest_cv,BHARTIARTL.NS,1db6ff197a40,False
policy_B_highest_cv,BRITANNIA.NS,b4951f71a6bf,False
policy_B_highest_cv,CIPLA.NS,91f547418e28,False
policy_B_highest_cv,COALINDIA.NS,34ba065a209a,False
policy_B_highest_cv,DRREDDY.NS,776e48979a61,False
policy_B_highest_cv,EICHERMOT.NS,f4fcbc8ea09b,False
policy_B_highest_cv,ETERNAL.NS,213c7cdf6b07,False
policy_B_highest_cv,GRASIM.NS,2c1de894a637,False
policy_B_highest_cv,HCLTECH.NS,0897f8e186c5,False
policy_B_highest_cv,HDFCBANK.NS,4a79ab752e51,False
policy_B_highest_cv,HDFCLIFE.NS,41399ec09316,False
policy_B_highest_cv,HEROMOTOCO.NS,8bc8602ae09a,False
policy_B_highest_cv,HINDALCO.NS,dbc2925e4fde,False
policy_B_highest_cv,HINDUNILVR.NS,cd95e34ed076,False
policy_B_highest_cv,ICICIBANK.NS,d63609af1d97,False
policy_B_highest_cv,INDIGO.NS,25dbcd62a57b,False
policy_B_highest_cv,INFY.NS,ce793e4e8839,False
policy_B_highest_cv,ITC.NS,dd4365c40715,False
policy_B_highest_cv,JIOFIN.NS,NONE,True
policy_B_highest_cv,JSWSTEEL.NS,f6cbf70e626f,False
policy_B_highest_cv,KOTAKBANK.NS,572bb63ba388,False
policy_B_highest_cv,LT.NS,8c272c989297,False
policy_B_highest_cv,M&M.NS,a82ca768507c,False
policy_B_highest_cv,MARUTI.NS,7ef4e7eabc45,False
policy_B_highest_cv,MAXHEALTH.NS,89ccde0bb6bb,False
policy_B_highest_cv,NESTLEIND.NS,f04bde3608d3,False
policy_B_highest_cv,NTPC.NS,a97c5bf097c4,False
policy_B_highest_cv,ONGC.NS,f9edf9feaee0,False
policy_B_highest_cv,POWERGRID.NS,baeacbd6a8ee,False
policy_B_highest_cv,RELIANCE.NS,a4264ce3aa03,False
policy_B_highest_cv,SBILIFE.NS,710b376617f0,False
policy_B_highest_cv,SBIN.NS,41efcda90bcf,False
policy_B_highest_cv,SHRIRAMFIN.NS,0e7da5a7998c,False
policy_B_highest_cv,SUNPHARMA.NS,845257eace4d,False
policy_B_highest_cv,TATACONSUM.NS,241b68c2c661,False
policy_B_highest_cv,TATASTEEL.NS,b6ad42ab4e15,False
policy_B_highest_cv,TCS.NS,68df90ea3a2f,False
policy_B_highest_cv,TECHM.NS,44f46805464f,False
policy_B_highest_cv,TITAN.NS,f22de148c0b9,False
policy_B_highest_cv,TRENT.NS,8dd0db56b45b,False
policy_B_highest_cv,ULTRACEMCO.NS,8755f4b0285f,False
policy_B_highest_cv,WIPRO.NS,6873fcb78722,False
policy_C_highest_test,ADANIENT.NS,66c2ef3e02d0,False
policy_C_highest_test,ADANIPORTS.NS,06bc74a2363f,False
policy_C_highest_test,APOLLOHOSP.NS,05ede10abd64,False
policy_C_highest_test,ASIANPAINT.NS,e6259388a183,False
policy_C_highest_test,AXISBANK.NS,c5887408a2bd,False
policy_C_highest_test,BAJAJ-AUTO.NS,48c2a43dffff,False
policy_C_highest_test,BAJFINANCE.NS,19fd01804fed,False
policy_C_highest_test,BAJAJFINSV.NS,550436d37c2e,False
policy_C_highest_test,BEL.NS,d531ce73163b,False
policy_C_highest_test,BHARTIARTL.NS,1db6ff197a40,False
policy_C_highest_test,BRITANNIA.NS,b4951f71a6bf,False
policy_C_highest_test,CIPLA.NS,4667a453f22d,False
policy_C_highest_test,COALINDIA.NS,34ba065a209a,False
policy_C_highest_test,DRREDDY.NS,7210d4a2ac7f,False
policy_C_highest_test,EICHERMOT.NS,f4fcbc8ea09b,False
policy_C_highest_test,ETERNAL.NS,213c7cdf6b07,False
policy_C_highest_test,GRASIM.NS,60c64b7bac5f,False
policy_C_highest_test,HCLTECH.NS,c52c57f19196,False
policy_C_highest_test,HDFCBANK.NS,4a79ab752e51,False
policy_C_highest_test,HDFCLIFE.NS,645a8e00fc74,False
policy_C_highest_test,HEROMOTOCO.NS,8bc8602ae09a,False
policy_C_highest_test,HINDALCO.NS,75c4bcd16d7e,False
policy_C_highest_test,HINDUNILVR.NS,d623ab98c5ab,False
policy_C_highest_test,ICICIBANK.NS,9a90cf51924c,False
policy_C_highest_test,INDIGO.NS,208247af8cb1,False
policy_C_highest_test,INFY.NS,90f8d2184423,False
policy_C_highest_test,ITC.NS,1ff50678cced,False
policy_C_highest_test,JIOFIN.NS,a136644c1d2e,False
policy_C_highest_test,JSWSTEEL.NS,15f1cf629f57,False
policy_C_highest_test,KOTAKBANK.NS,572bb63ba388,False
policy_C_highest_test,LT.NS,fffa74c6ced2,False
policy_C_highest_test,M&M.NS,558d590356df,False
policy_C_highest_test,MARUTI.NS,7ef4e7eabc45,False
policy_C_highest_test,MAXHEALTH.NS,6687bf1b01c5,False
policy_C_highest_test,NESTLEIND.NS,7aadd30cf3dd,False
policy_C_highest_test,NTPC.NS,e850d8e39a71,False
policy_C_highest_test,ONGC.NS,f9edf9feaee0,False
policy_C_highest_test,POWERGRID.NS,40b304c072b0,False
policy_C_highest_test,RELIANCE.NS,a4264ce3aa03,False
policy_C_highest_test,SBILIFE.NS,7d4e4f2083ec,False
policy_C_highest_test,SBIN.NS,41efcda90bcf,False
policy_C_highest_test,SHRIRAMFIN.NS,c1fc54975746,False
policy_C_highest_test,SUNPHARMA.NS,845257eace4d,False
policy_C_highest_test,TATACONSUM.NS,4d67a31ef2d1,False
policy_C_highest_test,TATASTEEL.NS,182b9748cbf7,False
policy_C_highest_test,TCS.NS,39f892ad8a37,False
policy_C_highest_test,TECHM.NS,5011305981a8,False
policy_C_highest_test,TITAN.NS,67c0dc7422a2,False
policy_C_highest_test,TRENT.NS,9106deb806b5,False
policy_C_highest_test,ULTRACEMCO.NS,8755f4b0285f,False
policy_C_highest_test,WIPRO.NS,1999ed4012b1,False
