subset,gate_activation_rate,selected_pcr_count,rejected_pcr_count,gated_delta_vs_control,pcr_always_delta_vs_control,class_collapses_gate,class_collapses_pcr_always,improvement_rate_gated,regression_rate_gated
Cutoff 2025-08-08,0.3617021276595745,17,30,0.0006353072659781306,6.187880023349516e-05,6,14,0.19148936170212766,0.1702127659574468
Cutoff 2025-11-10,0.48936170212765956,23,24,0.0033122486436137776,-0.0009959029208674107,5,13,0.2765957446808511,0.2127659574468085
Cutoff 2026-02-10,0.3829787234042553,18,29,-0.0022022005859884983,-0.0007486253945480808,5,9,0.14893617021276595,0.23404255319148937
Cutoff 2026-05-08,0.2765957446808511,13,34,0.001642499097007072,0.0018301579959343504,0,11,0.14893617021276595,0.1276595744680851
Cutoff 2026-08-10,0.2127659574468085,10,37,0.0010198198950929977,-0.0018579281794308005,2,10,0.10638297872340426,0.10638297872340426
T1-only (Cold Start),0.3617021276595745,17,30,0.0006353072659781306,6.187880023349516e-05,6,14,0.19148936170212766,0.1702127659574468
T2-T5 combined (Warm),0.3404255319148936,64,124,0.0009430917624313372,-0.0004430746247279852,12,43,0.1702127659574468,0.1702127659574468
All T1-T5,0.3446808510638298,81,154,0.000881534863140696,-0.00034208393973568925,18,57,0.17446808510638298,0.1702127659574468
