ticker,cutoff_date,historical_observation_count,historical_mean_delta_f1,historical_collapse_rate,current_delta_cv_score,gate_enabled,gate_reason,information_cutoff_date,control_f1_macro,pcr_f1_macro,delta_f1_macro,gated_f1_macro,gated_delta_vs_control,class_collapse_bool,delta_sell_f1,delta_hold_f1,delta_buy_f1
ADANIENT.NS,2025-08-08,0,0.0,0.0,0.0052850185975945,True,COLD: cv_delta=0.005285,2025-08-08,0.3897881397881397,0.3776414162787417,-0.0121467235093979,0.3776414162787417,-0.012146723509397994,True,0.1071428571428571,-0.0177911724674314,-0.1257918552036199
ADANIENT.NS,2025-11-10,1,-0.0121467235093979,1.0,0.0056049107072186,False,"WARM: hist_mean=-0.012147, hist_collapse=1.00",2025-11-10,0.3561906693102619,0.3235470447171674,-0.0326436245930945,0.3561906693102619,0.0,True,0.0067150147730325,0.0028102517985611,-0.1074561403508771
ADANIENT.NS,2026-02-10,2,-0.0223951740512462,1.0,0.0189350351208174,False,"WARM: hist_mean=-0.022395, hist_collapse=1.00",2026-02-10,0.3789820788530466,0.4031791952599954,0.0241971164069488,0.3789820788530466,0.0,False,0.0315331641899239,0.0983213429256594,-0.0572631578947368
ADANIENT.NS,2026-05-08,3,-0.006864410565181199,0.6666666666666666,0.0097600216962761,False,"WARM: hist_mean=-0.006864, hist_collapse=0.67",2026-05-08,0.3784002536855825,0.3459724704042886,-0.0324277832812939,0.3784002536855825,0.0,True,0.0579541566883339,-0.0468771169218262,-0.1083603896103896
ADANIENT.NS,2026-08-10,4,-0.013255253744209375,0.75,-0.0083768011839757,False,"WARM: hist_mean=-0.013255, hist_collapse=0.75",2026-08-10,0.4352033000941223,0.4145660300622809,-0.0206372700318413,0.4352033000941223,0.0,False,-0.0253164556962025,0.0232190450377196,-0.0598143994370409
ADANIPORTS.NS,2025-08-08,0,0.0,0.0,-0.0130260797101772,False,COLD: cv_delta=-0.013026,2025-08-08,0.2814545089080359,0.2364604316546762,-0.0449940772533597,0.2814545089080359,0.0,True,0.0150515463917525,-0.0123329907502569,-0.1377007874015748
ADANIPORTS.NS,2025-11-10,1,-0.0449940772533597,1.0,-0.0025520016408476,False,"WARM: hist_mean=-0.044994, hist_collapse=1.00",2025-11-10,0.3769214198662052,0.3287121989459519,-0.0482092209202532,0.3769214198662052,0.0,True,0.0518084066471163,-0.0675687032523741,-0.1288673661555017
ADANIPORTS.NS,2026-02-10,2,-0.046601649086806446,1.0,-0.0011096057627758,False,"WARM: hist_mean=-0.046602, hist_collapse=1.00",2026-02-10,0.4018710421000082,0.381492260964954,-0.0203787811350541,0.4018710421000082,0.0,False,0.0085657007472207,-0.0418896738742596,-0.0278123702781236
ADANIPORTS.NS,2026-05-08,3,-0.037860693102889,0.6666666666666666,-0.0089646746461614,False,"WARM: hist_mean=-0.037861, hist_collapse=0.67",2026-05-08,0.3823423385215658,0.3666847685297975,-0.0156575699917683,0.3823423385215658,0.0,True,-0.1095825426944971,0.0940066930331609,-0.0313968603139686
ADANIPORTS.NS,2026-08-10,4,-0.03230991232510882,0.75,0.0053548060525433,False,"WARM: hist_mean=-0.032310, hist_collapse=0.75",2026-08-10,0.3835545512247689,0.4098378378378378,0.0262832866130689,0.3835545512247689,0.0,False,-0.0168810521751697,0.124175356458821,-0.0284444444444444
APOLLOHOSP.NS,2025-08-08,0,0.0,0.0,0.0023862149528287,False,COLD: cv_delta=0.002386,2025-08-08,0.3082772584626868,0.277280609617959,-0.0309966488447277,0.3082772584626868,0.0,False,-0.0481927710843373,-0.0081142486205777,-0.0366829268292682
APOLLOHOSP.NS,2025-11-10,1,-0.0309966488447277,0.0,0.018434609619683,False,"WARM: hist_mean=-0.030997, hist_collapse=0.00",2025-11-10,0.2749068934017286,0.2862453447819301,0.0113384513802015,0.2749068934017286,0.0,False,-0.0662020905923344,0.0515519568151147,0.0486654879178243
APOLLOHOSP.NS,2026-02-10,2,-0.009829098732263099,0.0,0.0080019918788666,False,"WARM: hist_mean=-0.009829, hist_collapse=0.00",2026-02-10,0.2635778399219259,0.2881216931216931,0.0245438531997671,0.2635778399219259,0.0,False,0.0309677419354838,0.0185185185185185,0.0241452991452991
APOLLOHOSP.NS,2026-05-08,3,0.0016285519117469674,0.0,0.0083372655637381,True,"WARM: hist_mean=0.001629, hist_collapse=0.00",2026-05-08,0.2933652885319311,0.3150761669402283,0.0217108784082971,0.3150761669402283,0.021710878408297163,False,0.0222775210332977,-0.0049485033794657,0.0478036175710594
APOLLOHOSP.NS,2026-08-10,4,0.006649133535884501,0.0,0.0070754954370199,True,"WARM: hist_mean=0.006649, hist_collapse=0.00",2026-08-10,0.3470169677066228,0.2868055048975708,-0.0602114628090519,0.2868055048975708,-0.06021146280905204,True,-0.1144927536231883,0.0769776312510782,-0.1431192660550458
ASIANPAINT.NS,2025-08-08,0,0.0,0.0,0.0260123353457719,True,COLD: cv_delta=0.026012,2025-08-08,0.3004075846181109,0.3577400413149205,0.0573324566968095,0.3577400413149205,0.057332456696809586,False,0.0202020202020201,0.0382151029748283,0.1135802469135802
ASIANPAINT.NS,2025-11-10,1,0.0573324566968095,0.0,0.0166509621710464,True,"WARM: hist_mean=0.057332, hist_collapse=0.00",2025-11-10,0.3528920691711389,0.3798432250839865,0.0269511559128475,0.3798432250839865,0.02695115591284758,False,-0.0798920377867746,0.0217054263565891,0.1390400791687283
