subset,observation_count,mean_actual_delta_f1,median_actual_delta_f1,std_actual_delta_f1,improvement_count,regression_count,neutral_count,improvement_rate,regression_rate,class_collapse_count,collapse_rate,mean_delta_sell_f1,mean_delta_hold_f1,mean_delta_buy_f1,worst_delta_f1,best_delta_f1
PCR SELECTED BY GATE,81,0.002557539417753866,0.0031109737800524,0.03484989399137334,41,40,0,0.5061728395061729,0.49382716049382713,18,0.2222222222222222,-0.0005950322028416324,0.009797043306626991,-0.0015293928505237845,-0.0925917615986877,0.0971773230766036
PCR REJECTED BY GATE,154,-0.0018672105108827842,-0.0007530064051072,0.03273934309261956,74,80,0,0.4805194805194805,0.5194805194805194,39,0.2532467532467532,-0.006812574957176933,0.003370920157380562,-0.002159976732851987,-0.0795922420045207,0.0896563423349137
