ticker,cutoff_date,is_t1,horizon,historical_observation_count,historical_mean_delta_f1,historical_median_delta_f1,historical_consistency,historical_collapse_rate,historical_prediction_shift,delta_cv_score,control_f1,pcr_f1,actual_delta_f1,class_collapse,target_cutoff_validation_passed,target_leakage_violations,Gate_A_enabled,Gate_A_f1,Gate_A_delta_vs_control,Gate_B_enabled,Gate_B_f1,Gate_B_delta_vs_control,Gate_C_enabled,Gate_C_f1,Gate_C_delta_vs_control,Gate_D_enabled,Gate_D_f1,Gate_D_delta_vs_control
ADANIENT.NS,2025-08-08,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0052850185975945,0.3897881397881397,0.3776414162787417,-0.0121467235093979,True,True,0,False,0.3897881397881397,0.0,False,0.3897881397881397,0.0,True,0.3776414162787417,-0.012146723509397994,True,0.3776414162787417,-0.012146723509397994
ADANIENT.NS,2025-11-10,False,10,1,-0.0121467235093979,-0.0121467235093979,0.0,1.0,56.0,0.0056049107072186,0.3561906693102619,0.3235470447171674,-0.0326436245930945,True,True,0,False,0.3561906693102619,0.0,False,0.3561906693102619,0.0,True,0.3235470447171674,-0.0326436245930945,False,0.3561906693102619,0.0
ADANIENT.NS,2026-02-10,False,10,2,-0.0223951740512462,-0.0223951740512462,0.0,1.0,46.0,0.0189350351208174,0.3789820788530466,0.4031791952599954,0.0241971164069488,False,True,0,False,0.3789820788530466,0.0,False,0.3789820788530466,0.0,True,0.4031791952599954,0.024197116406948826,False,0.3789820788530466,0.0
ADANIENT.NS,2026-05-08,False,10,3,-0.006864410565181199,-0.0121467235093979,0.3333333333333333,0.6666666666666666,50.666666666666664,0.0097600216962761,0.3784002536855825,0.3459724704042886,-0.0324277832812939,True,True,0,False,0.3784002536855825,0.0,False,0.3784002536855825,0.0,True,0.3459724704042886,-0.03242778328129392,False,0.3784002536855825,0.0
ADANIENT.NS,2026-08-10,False,10,4,-0.013255253744209375,-0.022287253395345902,0.25,0.75,51.5,-0.0083768011839757,0.4352033000941223,0.4145660300622809,-0.0206372700318413,False,True,0,False,0.4352033000941223,0.0,False,0.4352033000941223,0.0,False,0.4352033000941223,0.0,False,0.4352033000941223,0.0
ADANIPORTS.NS,2025-08-08,True,10,0,0.0,0.0,0.0,0.0,0.0,-0.0130260797101772,0.2814545089080359,0.2364604316546762,-0.0449940772533597,True,True,0,False,0.2814545089080359,0.0,False,0.2814545089080359,0.0,False,0.2814545089080359,0.0,False,0.2814545089080359,0.0
ADANIPORTS.NS,2025-11-10,False,10,1,-0.0449940772533597,-0.0449940772533597,0.0,1.0,6.0,-0.0025520016408476,0.3769214198662052,0.3287121989459519,-0.0482092209202532,True,True,0,False,0.3769214198662052,0.0,False,0.3769214198662052,0.0,False,0.3769214198662052,0.0,False,0.3769214198662052,0.0
ADANIPORTS.NS,2026-02-10,False,10,2,-0.046601649086806446,-0.046601649086806446,0.0,1.0,28.0,-0.0011096057627758,0.4018710421000082,0.381492260964954,-0.0203787811350541,False,True,0,False,0.4018710421000082,0.0,False,0.4018710421000082,0.0,False,0.4018710421000082,0.0,False,0.4018710421000082,0.0
ADANIPORTS.NS,2026-05-08,False,10,3,-0.037860693102889,-0.0449940772533597,0.0,0.6666666666666666,35.333333333333336,-0.0089646746461614,0.3823423385215658,0.3666847685297975,-0.0156575699917683,True,True,0,False,0.3823423385215658,0.0,False,0.3823423385215658,0.0,False,0.3823423385215658,0.0,False,0.3823423385215658,0.0
ADANIPORTS.NS,2026-08-10,False,10,4,-0.03230991232510882,-0.032686429194206904,0.0,0.75,37.0,0.0053548060525433,0.3835545512247689,0.4098378378378378,0.0262832866130689,False,True,0,False,0.3835545512247689,0.0,False,0.3835545512247689,0.0,True,0.4098378378378378,0.02628328661306889,False,0.3835545512247689,0.0
