"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","27-Apr-2026","18,917.45","15,046.34","3,871.11"
"FII/FPI","27-Apr-2026","29,946.71","30,891.18","-944.47"
