"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","27-Apr-2026","19,978.34","15,854.42","4,123.92"
"FII/FPI","27-Apr-2026","30,263.32","31,414.80","-1,151.48"
